chunk_id,parent_doc_id,chunk_text,chunk_order,page_ref
MOSPI-M03_CH0160,MOSPI-M03,"CHAPTER 5
5.60 The estimates of GSDP for this segment of activiti es are prepared
separately for public, private organised and private un-organised parts. (i) Public Sector: The estimates of GSDP for public part in the Centre are
prepared by the CSO, whereas the part relating to state governments
are prepared by the State DESs on the basis of analysis of the budget
documents of central/state/local governments and annual accounts of
NDCUs. The CSO alloc ates the c entral part of value added t o the
states. (ii) Private organised s egment: Estimates for private organised part are
first prepared at national level us ing RBI studies of company finances
of a sample of companies and information available from NABARD on
cooperative societies . Then, the national level GV A estimates are
allocated among states in proportion to respective workforce obtained
from Directorate General of Employ ment & Training (DGE&T). These
estimates are prepared by the CSO and made available to states.",160,61
MOSPI-M03_CH0161,MOSPI-M03,"e workforce obtained
from Directorate General of Employ ment & Training (DGE&T). These
estimates are prepared by the CSO and made available to states. (iii) Private un-organised segment: The Base Year (1999-2000) estimates
of private un-organised sector of Trade, Hotels and Restaurants have
been prepared as a product of GVA per worker and work force. For
trade sector, the workforce estima tes have been prepared using the
results of NSS 55th round survey on Employment – Unemploy ment
(WPRs) conducted by NSSO in 1999-2000 alon g wit h the data on
population from the Popul ation Census 2001. Th value added per
worker used for the new ser ies is that o f all enter prises category
available in informal sector surv ey conducted in NSS 55th round
(1999-2000), as no fresh survey on trade sector was conducted by
the NSSO. In the case of hotel s and restaurants, the VAPW is tak en
from Enterprise surv ey conduct ed during 57th round (2001-02) of
NSS. For the base year, the esti mates from private un-organised
sector of trade and hotels and re staurants are prepared separat ely.
For subsequent year s, the bas e year estimates of trade, hotels &
restaurants are moved with the help of Index of S tate Gross Tra ding
Income (GTI) of commodity producing sec tors, which is computed
both at current and c onstant prices. The GTI is computed using the
marketable surplus of the comm odities produced and the trade
margins in respect of these commodities. In view of the volatility in
the estimates of GTI, another recommended method for moving
forward the base year estimates is the sales tax/VAT realized from
the trading establishments, which is at current prices. For co nstant
prices, a suitable deflator is applied, when sales tax data is used as
the indicator.",161,61
MOSPI-M03_CH0162,MOSPI-M03,"rading establishments, which is at current prices. For co nstant
prices, a suitable deflator is applied, when sales tax data is used as
the indicator. 5.61 For the es timates at constant pr ices, the current price estimates of
public and private corporate sector are deflated by the wholesale price index.
For the unorganized sector, base year GSDP estimates are ext rapolated
with the help of GTI at constant prices. Transport, Storage and Communication
59",162,61
MOSPI-M03_CH0163,MOSPI-M03,"CHAPTER 5
5.62 The economic activities covered in this sector are (i) transport by
railways, (ii) transport by other m eans, namely, road transport (mechanis ed
and non- mechanised), water transport (c oastal, ocean and inland), air
transport and servic es incide ntal to transport, (iii) storage, and (iv)
communication services rendered by Post & Tele-communication
Departments and Overseas Communic ation Ser vices. The budget
documents of the railways and communica tion services which a re integral
part of Central Government budget documen ts include allied activities which
according to standard industrial classifi cation should belong to respective
sectors. Follo wing this princip le, railway workshops a nd railwa y
manufacturing establishments like Chi ttaranjan Locomotive Works, Integra l
Coach F actory, Diesel Locomotive Works and Wheel & Axle Plant are
excluded f rom railwa y transport and in cluded u nder the `manufacturing`
activities. Construction activity of the railways is also exc luded and taken
into account in the `construction` sect or. Expenditure on education, medica l
& health s ervices are also excluded here and included in `other services`.
Similarly, the activities relating to post office savings bank, postal life
insurance and telecommunication workshops are e xcluded from
communication and included in `banking`, `insurance` and `manufacturing`
sectors respectively. Estimates of GSDP for railways and communication s
are considered as part of supra-regi onal sectors and estimates for these
sectors are provided by the CSO to the States. The methodology for
compiling the estimates for other activities under this group is discussed
below.",163,62
MOSPI-M03_CH0164,MOSPI-M03,"e
sectors are provided by the CSO to the States. The methodology for
compiling the estimates for other activities under this group is discussed
below. Transport by other means:
5.63 Mechanised road transport (Public sector): The estimates of GSDP
for this segment are obtained through economic analysis of annua l
reports/accounts for non-departmental transport undertakings in the state. 5.64 Mechanised road transport (Private sector): The state-wise estimates
of GVA at current prices are prepared activity-wise by multiplying work force
with GVA per worker separately for the rural and urban areas for each year.
The total State-wise work force data fo r the current year s are obtained by
extrapolating the bas e year (1999-2000) workforce estimates for the three
categories (6021, 60221 and 60231 of NIC of 1998) of mechanised road
transport with the indicator of number of vehicles regist ered in the state.
The Gross Value Added per worker fo r the respective categories for 1999-
2000 has been taken from the Enterpri se Survey of NSS 57th Round (2001-
02), for rural and urban areas separately. Gross Value Added per worker
available from this survey are moved to other years with t he help of State
Consumer Price Index for Urban Non Manual Employees (CPI UNME) for
urban areas and State CPI of Agricultur al Laborers (CPIAL) for rural areas
respectively. The constant price estimates are obtained by def lating the
current price estimates of GVA with CP I (UNME)/CPI (AL), res pectively for
urban and rural areas.",164,62
MOSPI-M03_CH0165,MOSPI-M03,"Consumer Price Index for Urban Non Manual Employees (CPI UNME) for
urban areas and State CPI of Agricultur al Laborers (CPIAL) for rural areas
respectively. The constant price estimates are obtained by def lating the
current price estimates of GVA with CP I (UNME)/CPI (AL), res pectively for
urban and rural areas.

5.65 Non Mechanised Transport: G VA estimate has been prepared by
multiplying the workforce (duly adjus ted for public sector) with GVA per
worker available from the Enterprise Survey 2001-02 results for the
60",165,62
MOSPI-M03_CH0166,MOSPI-M03,"CHAPTER 5
respective NIC codes. In the n ew series, the GVA per worker has been
taken from the Enterprise Survey of NSS 57th round (2001-02). The Work
force estimates have been prepared usin g the results of NSS 55th round
survey on Employment- Unemploym ent (WPRs) 1999-2000 along with the
data on population from the Population Census 2001. 5.66 The economic activities of Airp ort Authority were inc luded under Air
transport sub-sector in the 1993-94 seri es. This has now been s hifted to the
sub-sector ‘service incidental to transport’. Similarl y, supporting service to
water transport whic h was part of wate r transport, has be en shifted to
‘service incidental to tr ansport’ in the new series. The estim ates of Non
Mechanised transport and Service inc idental hav e been moved to further
years with the help of Index of Commodity Producing sectors. 5.67 Water transport: The estimates of GSDP for organised inland water
transport in respect of a state are prepared by respective DESs by analysing
the annual accounts of state inland wa ter transport companies. The all-
India estimates of gross value added fr om the shipping companies in public
and private segments are prepar ed by the CSO and allocated to the States
using suitable indicators. Similarly, the state-wise estimates of gross value
added from ports and pilotages are also prepared by the CSO by analysing
relevant reports/budget doc uments and made available to the States. The
state-wise estimates of gross value added generated from lighthouses and
ships handled by the Centre and Dredgi ng Corporation of India and Inland
Water Authority too are prepared by the CSO and made available to the
states.",166,63
MOSPI-M03_CH0167,MOSPI-M03,"hips handled by the Centre and Dredgi ng Corporation of India and Inland
Water Authority too are prepared by the CSO and made available to the
states. 5.68 Air Transport : The gross value added fo r this part is being estimated
by CSO at national level and apportioned to the states based on relevant
indicators. The estimates thus prepar ed by CSO are made available to the
states. Storage
5.69 The estim ates in res pect of pub lic warehousing (other than Central
Warehousing Corp.) are bas ed on the analysis of annual accounts of state
warehousing corporation. These are prepared by the CSO and made
available to states. The value added from Central Warehousing Corporation
are also prepared by the CSO and allocated to the states in proportion to the
average c apacity of central warehousi ng in various states. The state
warehousing corporations’ estim ates are prepared by State DESs. The
estimates of GDP from stor age n.e.c. are allocated to different states by the
CSO in proportion to the number of workers as in the base year. Real Estate, Ow nership of D wellings, Business Services and Legal
Services
5.70 The economic activities covered in this s ector are (1) Real Estate
Services (activities of all types of dealers such as operators, developers and
agents connected with real estate). (2 ) Renting of machinery and equipment
without operator and of personal and household goods (3) Computer and
61",167,63
MOSPI-M03_CH0168,MOSPI-M03,"CHAPTER 5
related act ivities (4) Accounting, book Keeping and related activities (5)
Legal Services (6)Scientific Res earch and develo pment and (7) Ownership
of dwellings (occupied residential houses). 5.71 In the 1999-2000 NAS series, resear ch and scientific services have
been included under real estate owners hip of dwellings and busines s
services sector, whereas the same was part of “Other Services” sector in the
old series. The major data sourc es for estimating the GVA of this sector are
National Sample Sur vey 55th R ound Survey on Employment and Un-
Employment –1999-2000 an d Population Census 2001 for info rmation on
residential houses in Rural and Urban areas. The estimates of Value Added
Per Worker (VAPW) from NSS 5 7th Round and the es timates of workforce
from NSS 55th Round, separately for Rural/Urban/Organised/Un-organised
sectors have been used to estimate t he Gross Value Added from Real
Estate, Renting of Machinery & Eq uipment without operator, personal
households computer and related activiti es of Un-organised sector, Legal
Services, Accounting & Book Keeping and Research & Development.",168,64
MOSPI-M03_CH0169,MOSPI-M03,"or, personal
households computer and related activiti es of Un-organised sector, Legal
Services, Accounting & Book Keeping and Research & Development. 5.72 Real Estate Services : (activities of all types of dealers such as
operators, developers and agents connected with real estate).The estimates
of these s ervices have been pr epared fo r the base y ear by us ing NSSO’s
workforce and value added per worker of Enterprise Survey, separately for
rural and urban areas. For subsequent ye ars, the estimates of workforce
have been worked out by using the inter survey exponential growth rate of
quinquennial employment and unemployment surveys as obser ved between
50th round 1993-94 and 55th round 1999- 2000 of NSSO and value added
per worker have been moved t o subsequent years using the Inde x of CPI
(AL) for rural and CPI (IW) for urban areas. 5.73 Renting of machiner y and equi pment w ithout operator and of
personal and household goods :- The estimates of these ser vices hav e
been prepared by us ing NSSO’s work force and value added per worker of
Enterprise Survey , s eparately f or rural and urban areas in the base year.
For subsequent years, the esti mates of workforce have been prepared by
using the inter survey exponential grow th rate of quinquennial employment
and unemployment surveys as observ ed and value added per worker have
been moved to subsequent years by usi ng the Index of CPI(AL) for rural
sector and CPI(IW) for urban sector.",169,64
MOSPI-M03_CH0170,MOSPI-M03,"observ ed and value added per worker have
been moved to subsequent years by usi ng the Index of CPI(AL) for rural
sector and CPI(IW) for urban sector. 5.74 Computer and relat ed activities : The ac tivities cov ered under this
compilation category are hardware cons ultancy, software cons ultancy &
supply, data processing, database ac tivities, maintenance & repair of
office/accounting/computing machinery and other computer related activities.
The estimates of GVA are compil ed separately for organised and un-
organised sectors. 5.75 GVA estimates for organised se ctor are prepared using NASSCOM
data of output of software services and GVA to output ratio obtained from the
analysis of available annual reports of software companies on y ear to year",170,64
MOSPI-M03_CH0171,MOSPI-M03,"office/accounting/computing machinery and other computer related activities.
The estimates of GVA are compil ed separately for organised and un-
organised sectors.

5.75 GVA estimates for organised se ctor are prepared using NASSCOM
data of output of software services and GVA to output ratio obtained from the
analysis of available annual reports of software companies on y ear to year
basis. These are allocated to States on the basis of workforce at state level.
62",171,64
MOSPI-M03_CH0172,MOSPI-M03,"CHAPTER 5 5.76 The estimates of GVA for the year 1999-2000 for un-organised sector
have been prepared by using t he l abour input met hod based on GVAPW
estimates of ES 2001-02 and the labour input estimates from EUS 1999-
2000 of NSS 55th Round, separately for rural and urban areas. 5.77 For subsequent years, the es timates of labour input in the
unorganized sector are prepared using the growth observed in the organized
sector. The value added per worker of rural and urban ar eas are projected
to subsequent years with the index of CPI (AL) and CPI (IW) respectively. 5.78 Accounting, book Keeping and related activities: The estimates of
these services have been prepared by using NSSO workforce and value
added per worker of Enterprise Survey , separately for rural and urban areas
in the bas e year. F or subsequent year s, the estimates of work force have
been worked out by using the inter surv ey exponential growth rate of
quinquennial employ ment and unemploy ment surv eys as observed and
value added per worker have been moved to subsequent years by using the
Index of CPI (AL) for rural sector and CPI (IW) for urban sector. 5.79 Legal Services: The estimates of these services have been prepared
by using NSSO workforce and value added per worker of Enterprise Survey,
separately for rural and urban areas in the base year. For subsequent years,
the estimates of workforce have been wo rked out by using the inter survey
exponential growth rate and value added per worker have been moved to
subsequent years by using the Index of CPIAL for rural sector and CPIIW for
urban sector.",172,65
MOSPI-M03_CH0173,MOSPI-M03,"al growth rate and value added per worker have been moved to
subsequent years by using the Index of CPIAL for rural sector and CPIIW for
urban sector. 5.80 Research and devel opment, market research an d public opinion
polling, business & management consultancy, architectural,
engineering & other technical act ivities, advertising and business
activities n.e.c. excluding auctioning (NIC-98 codes 73, 7413, 7414, 742,
743, 749(-)74991): This compilation category is obtained by re-grouping the
activities under business services and other services. In the 1993-94 series,
the estimates of Research & scientific services (NIC-87 code 922) were
included under ‘other servic es’. In NIC-98, this activity is classified under
code 73, which is under ‘business services’. In 1999-2000 series of NAS, the
estimates of this ac tivity are incl uded under ‘bus iness services’ only.
Similarly, the GVA estimates of ‘press agency activities’ falling under NIC-87
code 897 were being compiled, though not exclusively, under the category of
‘business services’ in 1993-94 series. Now, this activity falls under ‘news
agency act ivities’, which is clas sified under NIC-98 code 922. The GVA
estimates from this category are inclu ded under ‘other services’ in the new
series. Thus, the comparison of GVA estimates of ‘business services’ in the
1993-94 series, and 1999-2000 series, has to be done keeping in view these
changes in grouping. 5.81 The estimates of GVA for this compilation category have been",173,65
MOSPI-M03_CH0174,MOSPI-M03,"estimates from this category are inclu ded under ‘other services’ in the new
series. Thus, the comparison of GVA estimates of ‘business services’ in the
1993-94 series, and 1999-2000 series, has to be done keeping in view these
changes in grouping.

5.81 The estimates of GVA for this compilation category have been
prepared for organized & un-organised and rural /urban areas for the base
year 1999-2000 by using VAPW estimates of NSS Enterprise Survey of
63",174,65
MOSPI-M03_CH0175,MOSPI-M03,"CHAPTER 5
2001-02 and the labour input e stimates from EUS 1999-2000 of NSS 55t h
Round. 5.82 For subsequent year s, the esti mates of labour input are prepared
using the inter-survey growth rates in the workforce. The valu e added per
worker of rural and ur ban areas are projected to subs equent years with the
index of CPI (AL) and CPI (IW) respectively. 5.83 Ownership of Dwellings: In the production bound ary of national
accounts, only two c ategories of serv ices produced by households for own
final consumption are included, namely, • Services of owner-occupied dwellings: Owner-occupiers are
deemed to own household unincor porated enterprises that
produce housing services for their own consumption; and
• Domestic services produced by employing paid staff: Households
are deemed to own household unincorporated enterprises in which
they employ paid st aff – servant s, cooks, gardeners, etc. – to
produce services for their own consumption. 5.84 The activit ies mentioned und er (a) above are inc luded under
‘ownership of dwellings’. The economic activities covered in this sector are
ownership of dwellings (occupied res idential houses) in cluding imputed
value of owner occ upied dwellings also. Serv ices rendered by non-
residential buildings are considered to be a subsidiary act ivity of the
industries, which occupy the buildings and therefore, are not included in this
sector.",175,66
MOSPI-M03_CH0176,MOSPI-M03,"al buildings are considered to be a subsidiary act ivity of the
industries, which occupy the buildings and therefore, are not included in this
sector. 5.85 The data available on dwellings f rom the Po pulation Census and the
data on rent from the NSS Consumer Expenditure Surveys are the principa l
sources for estimating the GVA of ‘owner ship of dwellings ’. The number of
census dwellings in the base year (1999-2000) in urban and rural areas has
been arrived at by adjusting 2001 figur es for the mid-year 1999-2000 using
the rate of growth between 1991 and 2001. The num ber of census houses
so arrived has been multiplied by the average rent per household,
information on which is obtained from results of NSS 55th (1999-2000)
Round survey. This has been done separ ately for rural and urban areas t o
estimate the gross rental in the country. From this estimated gross rental, the
cost of repair and maintenance is subt racted, separately for rural and urban
areas, to obtain the GVA estimates for rural and urban areas. 5.86 For subsequent years, estimate s of census residential houses are
prepared using the int er-censal average compound growth rate, separately
for rural and urban areas. The rent per household is moved to subsequent
years with the index of house rent. In case of urban areas the house rent
sub-group in the CPI (UNME) is used. In the absence of any suitable
indicator for the rural areas on r ent, half the growth r ate of urban index is
used. Public Administration
64",176,66
MOSPI-M03_CH0177,MOSPI-M03,"CHAPTER 5
5.87 Gross Value Added (GVA) is esti mated by the “Income Approach”.
The compensation of employees is t he only factor income, as operating
surplus of administrative departments is treated as nil, being the provider of
non-market services. The economic analysis of the budgets of State and
local authorities provides the est imates for administrative departments from
which the public adm inistration estimate s are derived by making use of
Government expendit ure under various pur pose categories. The estimates
of value added in respect of C entral Government Administration, being a
supra-regional activity, are prepared by the CSO by undertaking the analysis
of Central Government Budget document s and are supplied to states. The
estimates relating to State Government are prepared by respective states by
undertaking an economic analysis of the State Government budget
documents. The estimates of income in respect of local authorities are
based on the information on compensat ion of employees obtained by the
DESs in respect of the local authorities. These ar e added to the state-wise
estimates of Central Government Ad ministration to obtain the state-wise
estimates of public administration.",177,67
MOSPI-M03_CH0178,MOSPI-M03,"ities. These ar e added to the state-wise
estimates of Central Government Ad ministration to obtain the state-wise
estimates of public administration. Other Services
5.88 The economic activities covered under this sector are (i) Coaching
and Tuition (NIC-98 codes 80903 and 80904) , (ii) Education excludin g
Coaching and Tuition (NIC-98 c ode 80 (- ) 80903 (-) 80904), (iii) Human
health activities inc luding veterinary activities, (iv) Sewage and refuse
disposal, sanitation activities (NIC-98, code-90), (v)Activit ies of membership
organisations (+) social work (NIC-98, Code 91+853), (vi) Recreational
cultural and sporting activities (NIC-98, Code-92), (vii) Washing and cleaning
of textiles and fur products (NI C-98, code-9301), (viii) Hair Dressing and
other Beauty Treatment (NIC-98, code-9302), (ix) Funeral a nd related
activities ( NIC,98code 9303+9309), (x) Pvt. hous eholds with employ ed
person (NIC-98, code-95), (xi) Custom Tailoring (NIC-98, Code-18105), and
(xii) Extra Territorial organisations and Bodies (NIC-98, Code 99). 5.89 The sources of data include: (i) Employment and Unemployment survey data of NSS 55th
Round and population census, 2001 estimates of work force;
(ii) Value added per wo rker from Enterprise Survey, NSS 57th
Round;
(iii) Budget do cuments for data r elating to activities of these
services covered under government;
(iv) Annual reports/accounts of corporations
(v) Consumer Price Index fo r Agriculture labour-CPI(AL),
Consumer Price Index for industrial workers-CPI(IW).",178,67
MOSPI-M03_CH0179,MOSPI-M03,"Annual reports/accounts of corporations
(v) Consumer Price Index fo r Agriculture labour-CPI(AL),
Consumer Price Index for industrial workers-CPI(IW). 5.90 All the activities are broadly gr ouped under three s egments, namely,
public sector, private organized sect or and private unorganiz ed sector.
While the estimates of GVA in respec t of activities covered under public
sector are compiled by analyzing t he budget documents and annual reports
of the concerned units , those of priv ate organised and private unorganized
65",179,67
MOSPI-M03_CH0180,MOSPI-M03,"CHAPTER 5
segments are prepared general ly following the labo ur input method and
benchmark-indicator procedures. 5.91 Generally, the GVA estimates for non-public sect or segments are
prepared separately for or ganized and unorganiz ed s egments. Initially
estimates are prepared for a benchmark y ear (usually the bas e of current
national accounts series), and for subs equent years, the benchm ark year’s
GVA estimates are extrapolated with suit able physical and price indicators.
The benc hmark year’s GVA estima tes are prepared as a product of
estimated workforce engaged in the ec onomic activity and the estimated
value added per worker (VAPW), separ ately for organ ized and u norganized
segments. For the current NAS series (base year 1999-2000), the workforce
estimates are from the NSS 55th R ound (1999-2000) survey results (for
details, please refer to the Chapter on workforce estimates), and the
estimates of VAPW are from the resu lts NSS 5 7th Round (20 01-02). As
mentioned, the GVA estimates for the base year are prepared separately for
rural/urban areas and also s eparately for organized/ unorganized segments.
It may be mentioned that the NSS 57th Round survey results provide the
data separately for corporate sector and unorganized sector.",180,68
MOSPI-M03_CH0181,MOSPI-M03,"rganized segments.
It may be mentioned that the NSS 57th Round survey results provide the
data separately for corporate sector and unorganized sector. 5.92 For subsequent years, the estimates of workforce in the activity are
generally prepared using the inter survey average compound growth rate of
quinquennial Employment & Unemployment surveys as observed between
1993-94 and 1999-2000 of NSS 50th and NSS 55th Round sur vey results.
The value added per worker of rura l and urban areas and organized and
unorganized segments, are projected to subsequent years with the CPI (AL)
and CPI (IW) respectively. The GVA estimates are compiled as product of
workforce and VAPW for the respect rural/urban/organized and unorganized
segments. Specific procedures follow ed for estimating the GVA of various
economic activities in the sector is given below: 5.93 Coaching and Tuit ion (NIC -98 codes 80903 an d 80904 ): The
activities c overed under this compila tion category are the activities of
coaching centres and indiv iduals providing t uitions. All these activities ar e
taken in the unorganized segment. T he estimates of GVA for c oaching &
tuition activities have been prepared for the year 1999-2000 by using the
VAPW of rural/ urban areas from the results of NSS Enterprise Surve y
2001-02 of 57th Round, and the labour input estimates based on the results
of EUS 1999-2000 of the 55th Round, as outlined in paragraph 5.91. For
subsequent years, the estimates at cu rrent prices are prepared using the
trends in consumption expenditure of these it ems by households, as
revealed by the NSS surveys on consumer expenditure.",181,68
MOSPI-M03_CH0182,MOSPI-M03,"prices are prepared using the
trends in consumption expenditure of these it ems by households, as
revealed by the NSS surveys on consumer expenditure. 5.94 Education excluding Coachin g and Tuition (NIC-98 code 8 0 (-)
80903 (-) 80904): The activities covered under this compilation category are
the activities of private education inst itutions, exc luding those of coaching",182,68
MOSPI-M03_CH0183,MOSPI-M03,"trends in consumption expenditure of these it ems by households, as
revealed by the NSS surveys on consumer expenditure.

5.94 Education excluding Coachin g and Tuition (NIC-98 code 8 0 (-)
80903 (-) 80904): The activities covered under this compilation category are
the activities of private education inst itutions, exc luding those of coaching
centres and indiv iduals providing tuiti ons. GVA estimates for this category
are prepared separately for recognized and non-recognized institutions. The
GVA for the public sector institutions is taken to be equivalent to the budget
expenditure on salaries and wages of teaching an d non-teaching staff of
66",183,68
MOSPI-M03_CH0184,MOSPI-M03,"CHAPTER 5
educational services, data obt ained from the analysis of the budget
documents on year-to-year basis plus consumption of fixed capital. The GVA
estimates for Private Recognized inst itutions have been prepared by us ing
VAPW estimates of from NSS 5 7th Round Enterprise survey (ES) 2001-02
(corporate sector part) and the DGE&T data on workers. The GVA estimates
for the year 1999-2000 for priv ate non-re cognised instituti ons have been
compiled separately for rural and urban areas by the procedure outlined in
paragraph 5. 91. For subsequ ent years, the method is same as indicated at
paragraph 5.92 above. 5.95 Human h ealth activities + Veteri nary activities (NIC-98 code-
851+852): The activities covered under th is compilation category are the
activities of human health and veterinar y services. The estimates of GVA in
human health and veterinary services are prepared separately for public,
private organised and private unorganis ed sectors. The GVA for the public
sector is taken to be equivalent to the budget ex penditure on s alaries and
wages of medical personnel obtai ned from the analysis of the budget
documents on year-to-year basis plus c onsumption of fixed capital. The
GVA for private organised sector is pr epared using number of workers from
DGE&T, a nd VAPW of cor porate sector e stimated from NSS 57th Round
Survey results. In case of unorgani sed segment, the labour input estimates
are obtained by subtracti ng the public + priv ate organised sector number of
workers from the total labour input. So obtained labour input is distributed
into rural and urban areas and m ultiplied with respective VAPW of NSS 57th
Round ES 2001-02 s eparately f or rural and urban areas in the base year.
For subsequent years, the method is same as indicated above.",184,69
MOSPI-M03_CH0185,MOSPI-M03,"APW of NSS 57th
Round ES 2001-02 s eparately f or rural and urban areas in the base year.
For subsequent years, the method is same as indicated above. 5.96 Sewage and refuse disposal, sanit ation activities (NIC-98, co de-
90): The activities covered in this ca tegory are sewage and refuge disposal,
sanitation and similar activities . T he estimates of GVA are prepared
separately for public and private sectors. Public sector estimates are the
sum of budget expenditure on salaries and wages of activities falling under
NIC 900 c overed under governm ent plus consumption of fixed capital. For
the private sector, estimates are pr epared separately fo r rural and urban
areas using NSS labour input and av erage compensation of municipal
workers engaged in sanitary services. The average compensation of all the 5
types of municipalities i.e. (i) 5 lakhs an d above, (ii) 1 lakh upto 5 lak hs, (iii)
75000 to 1 lakh (iv) 50000 to 75000 and (v) below 50000 are used for urban
areas. The average c ompensation of the smallest municipality is used for
rural areas as the proxy. The private sector labour input is obtained after
subtracting the public sector number of workers, from the corresponding total
labour input of the sanitary s ervices. T hese private sector Labour input
estimates are divided into Rur al & Urban. Thus obtained labour input
estimates are multiplied with VAPW of sanitary workers (data obtained from",185,69
MOSPI-M03_CH0186,MOSPI-M03,"rural areas as the proxy. The private sector labour input is obtained after
subtracting the public sector number of workers, from the corresponding total
labour input of the sanitary s ervices. T hese private sector Labour input
estimates are divided into Rur al & Urban. Thus obtained labour input
estimates are multiplied with VAPW of sanitary workers (data obtained from
municipal returns through DESs) to get the GVA estimates for the base year.
For subsequent years the estimates of labour input are prepared using the
inter-survey workforce growth rate. The value added per worker of rural and
urban sectors is projected to subseque nt years with the CPI(AL) and CPI
(IW) respectively.

67",186,69
MOSPI-M03_CH0187,MOSPI-M03,"CHAPTER 5
5.97 Activities of membership organisat ions (+) social w ork (NIC-98,
Code 91+853): Activities of business and employers organizations (includes
activities of industry associati ons, chambers of commerce and similar
federations) and Activities of profe ssional organis ations (inc ludes the
activities of associations of writers, painters, lawyers, doctors, journalists and
other similar organiz ations); Activities of trade unions includes activities of
associations whose members are main ly employees, including g overnment
employees, interested chiefly in the r epresentation of their vie ws concerning
their work situation; Activities of other membership organizations, Activities
of religious organisations (includes the ac tivities of religious organisations or
individuals who provide services dire ctly to worshippers), Activities of
political or ganizations; Activities of ot her membership organiz ations n.e.c.
(includes r otary clubs, student associ ations, war veterans’ associations ,
book clubs, philatelic clubs, associ ations of minority groups, and the
activities of other similar as sociations / organisations not elsewher e
classified); Social work with accomm odation includes the activities of
orphanages, children boarding homes an d hostels, residential nurseries ,
juvenile c orrection homes, homes fo r the aged, homes for physically or
mentally handicapped etc .; Social work wit hout accommodation inc ludes a
variety of social, counseling, welfare, refugee, referral and similar services to
individuals and families in their home s or elsewhere. T hey may be carried
out by gov ernment offices or by privat e charitable organisations. Examples
include day-care centres for children (crè ches), day care activit ies for the
handicapped; welfare and guidance",187,70
MOSPI-M03_CH0188,MOSPI-M03,"e charitable organisations. Examples
include day-care centres for children (crè ches), day care activit ies for the
handicapped; welfare and guidance activiti es for the children etc]. The GVA
estimates for the base year (1999-2000) for these services have been
prepared by using NSS 57th Round (2001-02) survey estimate of VAPW
and 55th Round EUS and RGI data on es timated Labour Input, separately
for rural/urban/organized/ unorganized segments. For subsequent years, the
estimates of labour input are prepar ed using the inter survey average
compound growth rate of quinquennia l Employm ent & Unemployment
surveys of NSS during 1993-94 and 1999-2000. The value added per worker
of rural and urban areas are projected to subsequent years with the CPI (AL)
and CPI (IW) respectively.",188,70
MOSPI-M03_CH0189,MOSPI-M03,"5.98 Recreational cultural and sporti ng activities (NIC-98, Code-92): The
activities covered in this category ar e recreational cultur al and sporting
activities. The GVA estimates for t hese activities for the base year 1999-
2000 have been prepared separ ately for public and priv ate sectors. Public
sector estimates are obtained by analyzing the report of t he Prasar Bharati
Broadcasting Corpor ation. Labour input estimates fo r private segment are
obtained by subtracting public sector workers as obtained from DGE&T from
the total labour input. Thus obtained private sector labour input estimates are
divided int o rural/urban X organized/ unorganised. These labour input
estimates have been multiplied with VA PW of 57th Round (adjusted for the",189,70
MOSPI-M03_CH0190,MOSPI-M03,"Broadcasting Corpor ation. Labour input estimates fo r private segment are
obtained by subtracting public sector workers as obtained from DGE&T from
the total labour input. Thus obtained private sector labour input estimates are
divided int o rural/urban X organized/ unorganised. These labour input
estimates have been multiplied with VA PW of 57th Round (adjusted for the
base year 1999-2000 with suitable indicators) of NSS to get the estimates of
GVA in the base year. For subsequent years, the method is same as
indicated above.

5.99 Washing and cleaning of textiles and fur products (NIC-98, code-
9301): The activities covered in t his category are washing and dry-cleaning
68",190,70
MOSPI-M03_CH0191,MOSPI-M03,"CHAPTER 5
of textile and fur products inclu ding laundry collection and delivery; repair
and minor alteration of garments when done in connection with cleaning and
carpet and rug shampooing and drapery and curtain cleaning in clients’
premises. As per NIC-87 (c ode-961) the activities covered in this category
are laundry, cleaning and dyeing services. The GVA estimates for base year
(1999-2000) from these services hav e been prepar ed using NSS 57th
Round (2001-02) survey estimates of VAPW and labour input, separately for
rural areas. For subsequent years, the method is same as indicated above. 5.100 Hair Dressing and other Beaut y Treatment (NIC-98, code-9302):
The activities covered in this category are hairdre ssing and ot her beauty
treatment including facial massage, manicure & pedic ure and make-up. The
GVA estimates for the base year ( 1999-2000) from these services have
been prepared using NSS 57th Round (20 01-02) survey estimates of VAPW
and labour input, separately for rura l and urban areas. For subseque nt
years, the method is same as indicated above. 5.101 Custom Tailoring (NIC-98, Code-18105): The GVA estimates fro m
these services are prepared using NSSO 56th Roun d data on VAPW an d
estimates of workers, separately for rural and urban areas in the base year.
For subsequent years, the method is same as indicated above.",191,71
